UserAddress,ContractType,Amount
0x0150e1c0bdf4f79125584d7010edab117fc926af,ZUG,9.0130
0x0156a8f3294988cda96ca78042fe5ddb6f875305,ZUG,1.0000
0x0173c3ebd687f2382b7972eca1621956f7f4925a,ZUG,5.0052
0x0180b7c037f8cb779cb5870a8a8dfa2f80c43cc3,ZUG,10.0059
0x01a6ba67d6fc191ebadb7782fecd5408da801a0c,ZUG,2.0019
0x01a7e48f2085b1f69d54a61fa422841abac72a87,ZUG,5.0000
0x01ab2030d94c424d94392496a5498f43f2bbf67b,ZUG,1.0000
0x01ab8300a490152298044afc234192c3758dba88,ZUG,9.0108
0x01ab989aad304ba605cccd8d490c35f1c7952c24,ZUG,1.0010
0x01bf50aacc2dbf620c222bae9cc9bd67d489d4c7,ZUG,1.0000
0x01bf84f11560b623beea054136b1ec1a108b9440,ZUG,29.0151
0x01c4cd45b65010ff4d1ebf63db4aeecf51bc4272,ZUG,1.0010
0x01d2862da9d4fd9542d60bf9f769888435707176,ZUG,29.0026
0x01d9ee57831d6975b07617cff18c77e7a4ea9e95,ZUG,1.0000
0x01eebf802ec895c745a9c03e54c8833bdb88dae5,ZUG,5.0000
0x01f3970db4e230cf17429027cbae9c1d3411c357,ZUG,19.0158
0x01f67cecde031c9a4fb4fc11696b3f6a2002ac49,ZUG,7.0000
0x01f9074fe145ff28b97b3d5211de920e7653c75b,ZUG,5.0027
0x020062e5c63fb40b483b2e29a851e5365ae877e9,ZUG,1.0000
0x02028d10f67abf3e4a5c23ba7d6f9458cd169b47,ZUG,19.0349
0x0213e0a6f4a7fed70267c430f877da00bec7dd9e,ZUG,49.0459
0x0217f2b914e6bf4b7532b9fd86f658bd66b3807b,ZUG,8.0083
0x0224f9238731ebc18db49556b92a3aebb0f9ef76,ZUG,1.0000
0x023ccbbade567f16106639a90da992077bae56d1,ZUG,5.0000
0x025b125445b4d9af060331480a2994f5c57ee6f7,ZUG,28.8785
0x026382ed7c72b178df16b9df2c5490e9350d1d45,vZUG,5121.0352
0x026942feaa39ff113d3f05cd6473cfb8a3dd0b69,ZUG,1.0000
0x0272985cc6a9242de02572c4d34c74b6a9ec15c5,ZUG,3.0031
0x027b8e372d090025e714ac19e011e81a1cd25225,ZUG,3.0031
0x027e7ce028fb980b736b8d3f1c081dbfeba546d4,ZUG,16.0050
0x028051a78325d2247b2b83db2b98fc9aafc15c14,ZUG,1.0000
0x028a85061de004a3152f4c183a1f6008ec82d0d3,ZUG,1.0000
0x0292401658f5272f002ae88ffe893d9595e448e9,ZUG,2.0017
0x02977862d7a39e7df42c1fcbdcd6e005a1591148,ZUG,14.0094
0x02991ac3bddc8f89c8e7dca47900d92545342c49,ZUG,1.0010
0x029d15648058da0684551682c8d1749b9291e01c,ZUG,1.0000
0x02a7fbde69fb069276cdda11a68b57bc564feee2,ZUG,49.1853
0x02ab9d831ba030997d1a84c62d150ce0aaf2a759,ZUG,4.0009
0x02ada29a0533a7ccb30b6c5eb838dbb1d404ca19,ZUG,89.2704
0x02bbde390a8f1c5c701222463a394fc039135db5,ZUG,20.0092
0x02c4f7a6dbc6862e4e103c45e89296124441e111,ZUG,1.0000
